road_spectrum_ratio,cavity_ratio,edge_density,non_road_ratio,average_brightness,defect_type,location_type
67.26,8.5,13.96,14.32,102.92,Damage,Road
60.81,0.69,2.88,4.37,101.23,None,Road
8.94,1.5,3.52,54.0,117.24,None,Non-Road
11.5,2.21,25.07,59.58,135.03,Crack,Non-Road
3.51,0.44,1.53,64.62,78.65,None,Non-Road
70.54,1.57,0.96,0.05,110.86,None,Road
76.23,4.66,12.97,4.94,119.4,Damage,Road
71.35,8.62,16.63,6.89,129.72,Damage,Road
9.92,0.81,1.66,74.04,84.43,None,Non-Road
60.91,3.92,29.3,9.8,80.63,Crack,Road
13.78,8.82,12.95,46.76,119.05,Damage,Non-Road
7.58,12.0,13.87,71.42,96.85,Pothole,Non-Road
19.93,0.36,0.0,73.16,126.12,None,Non-Road
18.0,0.68,1.83,49.59,170.29,None,Non-Road
71.73,0.6,2.63,4.73,107.85,None,Road
12.29,8.08,11.27,67.78,167.92,Damage,Non-Road
76.58,18.8,14.28,8.35,50.37,Pothole,Road
86.1,19.8,13.51,10.42,76.78,Pothole,Road
62.7,0.73,0.56,5.58,50.23,None,Road
81.65,7.66,12.54,13.48,99.84,Damage,Road
69.04,1.87,37.21,0.45,74.43,Crack,Road
16.75,19.86,17.84,55.35,92.3,Pothole,Non-Road
68.09,21.0,11.52,9.07,130.57,Pothole,Road
12.85,1.39,31.38,46.87,108.64,Crack,Non-Road
57.13,0.58,32.38,11.13,150.2,Crack,Road
11.99,1.58,1.91,46.95,50.5,None,Non-Road
64.46,1.64,38.18,0.8,97.32,Crack,Road
11.6,2.36,29.37,49.32,126.7,Crack,Non-Road
76.07,21.41,14.02,8.01,129.25,Pothole,Road
67.06,1.95,40.66,6.85,99.81,Crack,Road
52.45,9.58,12.32,4.81,125.41,Damage,Road
68.1,22.0,18.48,7.48,95.41,Pothole,Road
54.11,16.91,17.29,9.11,66.64,Pothole,Road
67.17,24.43,16.12,16.84,129.52,Pothole,Road
83.19,2.02,1.87,2.72,102.03,None,Road
15.11,20.27,17.38,69.42,131.74,Pothole,Non-Road
10.83,1.52,2.04,66.61,117.05,None,Non-Road
15.72,24.6,19.35,80.72,146.22,Pothole,Non-Road
62.69,1.06,1.96,12.32,85.79,None,Road
87.19,4.92,11.97,5.52,142.4,Damage,Road
17.45,10.87,10.88,63.45,123.4,Damage,Non-Road
62.42,2.52,35.61,4.01,103.25,Crack,Road
19.58,13.47,17.34,66.51,135.81,Pothole,Non-Road
16.41,2.32,25.21,58.52,69.65,Crack,Non-Road
10.73,0.87,1.68,68.46,96.62,None,Non-Road
23.93,2.44,21.97,59.93,117.46,Crack,Non-Road
71.17,1.47,1.63,8.35,142.38,None,Road
13.08,15.48,16.14,53.17,110.25,Pothole,Non-Road
78.39,10.77,11.61,8.46,117.36,Damage,Road
21.16,2.17,3.13,93.27,105.12,None,Non-Road
4.64,25.12,12.45,50.03,122.91,Pothole,Non-Road
87.49,10.43,13.94,11.49,142.04,Damage,Road
17.61,8.45,13.27,68.57,122.33,Damage,Non-Road
68.52,1.18,2.56,9.45,134.64,None,Road
68.36,5.42,10.93,8.73,122.94,Damage,Road
71.34,9.8,13.8,14.13,100.68,Damage,Road
11.81,19.88,12.85,83.33,89.61,Pothole,Non-Road
4.03,2.4,33.94,58.73,139.34,Crack,Non-Road
20.03,22.22,10.56,63.73,99.99,Pothole,Non-Road
8.39,0.87,3.26,75.0,94.55,None,Non-Road
9.22,9.78,8.58,66.02,106.08,Damage,Non-Road
76.83,29.96,9.31,8.23,114.89,Pothole,Road
72.62,0.93,1.65,10.92,103.29,None,Road
76.59,0.76,2.12,9.69,83.14,None,Road
75.04,7.65,8.57,2.77,135.1,Damage,Road
60.95,1.1,2.13,10.81,124.35,None,Road
2.7,7.06,10.96,80.92,146.43,Damage,Non-Road
62.62,1.09,1.85,4.43,138.83,None,Road
58.57,18.2,15.52,8.63,87.79,Pothole,Road
69.46,6.11,12.05,13.61,142.52,Damage,Road
80.13,0.04,31.96,7.51,97.54,Crack,Road
64.52,1.95,0.19,6.79,175.19,None,Road
5.84,10.74,16.98,95.97,98.86,Damage,Non-Road
58.33,1.52,21.39,4.1,109.74,Crack,Road
18.13,7.15,12.26,40.5,120.9,Damage,Non-Road
54.05,1.18,2.16,3.92,118.39,None,Road
80.81,1.0,2.81,10.07,80.48,None,Road
74.08,1.37,1.97,5.0,103.4,None,Road
17.45,14.12,16.85,75.15,131.72,Pothole,Non-Road
72.53,1.51,32.51,15.41,62.91,Crack,Road
66.7,18.27,15.18,6.05,97.37,Pothole,Road
77.53,27.79,17.08,8.77,90.38,Pothole,Road
5.93,20.82,18.43,67.14,95.92,Pothole,Non-Road
53.53,4.96,12.01,7.24,72.41,Damage,Road
75.22,0.77,3.12,1.28,86.7,None,Road
78.54,6.16,20.71,14.05,157.64,Damage,Road
12.76,0.65,2.48,79.4,112.66,None,Non-Road
24.72,13.02,9.42,56.78,107.22,Pothole,Non-Road
3.81,9.14,13.63,70.44,114.93,Damage,Non-Road
61.61,2.05,0.79,1.37,94.78,None,Road
63.73,4.52,10.27,1.37,143.24,Damage,Road
63.91,23.42,17.21,8.49,116.99,Pothole,Road
12.34,11.28,10.54,83.13,87.77,Damage,Non-Road
12.63,2.18,1.04,65.87,124.01,None,Non-Road
14.19,20.88,13.99,40.51,147.8,Pothole,Non-Road
67.68,2.2,29.52,10.71,93.86,Crack,Road
10.05,2.01,40.3,55.54,83.03,Crack,Non-Road
77.21,1.94,28.16,9.71,143.58,Crack,Road
15.38,20.83,14.18,68.05,153.91,Pothole,Non-Road
83.35,22.18,18.47,9.91,60.45,Pothole,Road
12.46,1.18,3.21,67.1,123.56,None,Non-Road
4.03,1.17,4.25,63.59,106.45,None,Non-Road
75.73,17.88,16.87,17.3,106.82,Pothole,Road
72.66,19.01,15.0,2.67,148.97,Pothole,Road
80.06,1.49,36.66,7.31,75.59,Crack,Road
4.68,20.0,9.47,63.4,140.45,Pothole,Non-Road
70.96,0.0,2.01,4.59,111.68,None,Road
17.89,0.73,2.37,54.01,151.0,None,Non-Road
9.32,3.94,12.35,84.47,89.87,Damage,Non-Road
71.97,20.75,13.26,16.06,151.52,Pothole,Road
71.83,1.11,1.24,9.54,73.28,None,Road
17.47,17.19,14.33,67.1,81.48,Pothole,Non-Road
22.51,2.63,26.86,74.29,127.81,Crack,Non-Road
13.04,10.56,16.67,72.95,138.2,Damage,Non-Road
8.44,1.17,2.33,45.93,89.67,None,Non-Road
16.61,2.81,37.35,59.39,82.44,Crack,Non-Road
65.76,1.1,4.71,10.73,97.96,None,Road
15.43,11.92,8.41,46.38,140.74,Damage,Non-Road
70.98,8.86,5.18,7.49,80.27,Damage,Road
11.8,7.99,8.1,68.43,100.58,Damage,Non-Road
3.1,1.52,3.49,65.67,90.55,None,Non-Road
6.7,7.25,6.92,44.99,111.95,Damage,Non-Road
3.98,18.93,8.17,63.43,129.23,Pothole,Non-Road
0.0,2.7,32.95,67.18,90.7,Crack,Non-Road
0.0,5.22,11.89,52.76,149.61,Damage,Non-Road
56.3,1.21,28.57,11.09,160.44,Crack,Road
9.35,0.53,1.86,67.15,163.7,None,Non-Road
65.36,2.35,30.05,7.34,112.77,Crack,Road
7.05,8.83,15.81,70.71,157.9,Damage,Non-Road
15.36,1.46,2.67,77.83,116.1,None,Non-Road
14.86,17.73,18.45,66.42,117.2,Pothole,Non-Road
9.98,6.14,14.81,66.13,123.54,Damage,Non-Road
20.22,15.67,18.18,63.7,106.6,Pothole,Non-Road
15.34,7.12,13.72,77.21,111.07,Damage,Non-Road
76.68,5.4,9.42,12.29,110.27,Damage,Road
16.85,8.42,13.22,67.16,106.03,Damage,Non-Road
12.36,0.63,2.47,38.85,127.83,None,Non-Road
77.65,6.64,12.17,8.28,131.89,Damage,Road
10.12,5.5,18.12,65.31,45.15,Damage,Non-Road
83.04,1.48,31.93,7.08,122.45,Crack,Road
17.51,23.09,15.46,65.42,100.26,Pothole,Non-Road
63.26,6.88,16.77,5.86,132.75,Damage,Road
1.44,15.94,11.88,63.79,67.54,Pothole,Non-Road
14.45,8.14,8.91,75.13,38.57,Damage,Non-Road
53.77,1.3,30.66,11.12,122.81,Crack,Road
66.04,2.01,31.92,4.4,71.72,Crack,Road
9.26,0.27,37.06,47.57,98.83,Crack,Non-Road
17.5,10.97,11.06,50.63,55.79,Damage,Non-Road
16.88,6.37,18.13,52.55,139.52,Damage,Non-Road
76.83,4.66,10.93,3.23,112.42,Damage,Road
66.79,8.05,12.47,5.84,116.91,Damage,Road
0.0,10.69,9.22,78.63,106.64,Damage,Non-Road
10.88,24.24,10.17,58.19,122.14,Pothole,Non-Road
7.6,19.58,13.47,60.71,97.98,Pothole,Non-Road
65.09,26.06,9.72,4.77,47.97,Pothole,Road
76.74,7.59,9.9,4.85,123.01,Damage,Road
80.06,6.04,16.99,0.0,120.47,Damage,Road
81.55,0.41,3.16,4.88,74.36,None,Road
78.22,1.33,36.24,11.97,65.6,Crack,Road
9.97,5.75,13.48,77.45,85.82,Damage,Non-Road
66.27,2.01,31.4,4.15,135.69,Crack,Road
12.73,1.77,31.45,69.08,93.65,Crack,Non-Road
17.11,6.96,14.15,69.55,122.22,Damage,Non-Road
9.15,1.94,1.4,72.28,168.53,None,Non-Road
9.06,2.71,28.76,57.81,171.11,Crack,Non-Road
69.9,6.81,11.12,3.32,101.87,Damage,Road
80.15,2.33,1.97,4.09,112.81,None,Road
9.45,1.51,2.37,52.21,124.23,None,Non-Road
69.45,24.78,17.35,10.78,120.82,Pothole,Road
13.46,15.2,11.96,64.82,85.1,Pothole,Non-Road
70.57,2.13,32.08,8.35,67.88,Crack,Road
62.92,0.93,0.0,5.4,87.5,None,Road
8.87,0.94,1.4,58.7,70.19,None,Non-Road
75.73,6.36,6.96,0.0,97.94,Damage,Road
5.97,6.95,15.8,62.7,156.13,Damage,Non-Road
87.04,2.64,24.89,9.49,99.96,Crack,Road
14.07,2.21,34.68,57.61,167.76,Crack,Non-Road
17.19,21.58,10.33,68.79,109.4,Pothole,Non-Road
18.81,9.48,14.12,83.58,74.96,Damage,Non-Road
6.25,4.72,10.65,88.73,97.1,Damage,Non-Road
67.01,6.54,5.61,0.0,100.38,Damage,Road
7.7,1.99,34.93,48.28,88.31,Crack,Non-Road
53.14,3.17,28.44,2.9,94.26,Crack,Road
75.67,1.31,3.63,2.75,124.92,None,Road
68.19,1.54,37.24,8.93,51.85,Crack,Road
66.72,29.13,12.15,10.85,63.95,Pothole,Road
63.92,2.51,44.52,11.53,86.06,Crack,Road
80.15,21.18,14.49,6.01,153.85,Pothole,Road
8.06,1.85,1.55,74.22,103.94,None,Non-Road
70.98,0.0,2.28,4.72,64.37,None,Road
60.15,20.56,13.98,2.89,72.92,Pothole,Road
71.27,13.58,13.77,12.7,87.19,Pothole,Road
17.5,17.56,17.16,70.4,60.5,Pothole,Non-Road
72.11,19.94,11.4,13.26,103.59,Pothole,Road
86.18,16.23,10.49,10.11,147.59,Pothole,Road
73.39,6.47,11.19,4.92,132.32,Damage,Road
10.27,15.95,15.57,90.03,91.21,Pothole,Non-Road
11.71,8.19,13.09,67.8,113.86,Damage,Non-Road
71.96,1.4,40.29,14.63,121.57,Crack,Road
15.75,18.31,10.73,70.71,70.76,Pothole,Non-Road
4.26,16.33,20.91,76.31,152.38,Pothole,Non-Road
68.36,9.11,10.83,5.46,135.31,Damage,Road
63.76,9.02,10.73,14.04,141.67,Damage,Road
20.49,8.79,8.09,72.3,125.11,Damage,Non-Road
7.49,1.92,33.5,73.0,132.1,Crack,Non-Road
19.54,5.29,10.91,82.04,58.62,Damage,Non-Road
68.56,7.59,14.51,12.87,85.09,Damage,Road
16.42,7.34,8.39,65.28,65.91,Damage,Non-Road
70.92,0.56,0.54,5.97,91.31,None,Road
78.64,21.75,15.91,11.11,115.41,Pothole,Road
82.46,1.77,27.57,4.11,148.32,Crack,Road
73.84,0.47,3.26,7.06,129.94,None,Road
17.34,1.78,39.42,76.69,114.72,Crack,Non-Road
75.99,20.49,13.14,6.75,173.26,Pothole,Road
9.11,0.53,3.02,54.54,110.96,None,Non-Road
9.23,2.76,33.95,58.19,83.16,Crack,Non-Road
54.64,0.0,2.85,8.45,108.23,None,Road
17.93,2.11,1.01,65.83,111.4,None,Non-Road
58.36,1.12,1.38,7.75,113.36,None,Road
62.42,2.4,32.48,9.64,139.75,Crack,Road
2.84,2.16,29.84,89.04,47.11,Crack,Non-Road
10.46,6.66,12.1,62.19,140.23,Damage,Non-Road
59.35,0.82,3.43,6.43,83.86,None,Road
15.43,14.21,11.88,46.05,154.13,Pothole,Non-Road
57.48,0.46,2.38,9.12,132.61,None,Road
76.24,3.24,36.01,10.81,118.55,Crack,Road
12.51,4.88,17.06,64.45,94.12,Damage,Non-Road
71.31,1.1,3.41,0.0,127.86,None,Road
10.84,3.35,35.52,65.09,138.65,Crack,Non-Road
11.39,7.8,8.59,69.23,109.01,Damage,Non-Road
12.61,0.57,1.85,91.36,159.17,None,Non-Road
63.13,0.51,1.69,8.7,135.26,None,Road
65.22,8.09,14.2,7.18,93.46,Damage,Road
69.09,27.81,10.32,6.64,114.04,Pothole,Road
10.25,1.5,31.45,45.45,125.28,Crack,Non-Road
74.15,1.09,3.46,9.16,103.99,None,Road
70.31,0.0,33.74,8.62,69.43,Crack,Road
14.88,0.96,2.66,76.99,159.36,None,Non-Road
71.76,2.18,24.24,7.25,104.73,Crack,Road
69.84,1.6,0.92,4.54,50.01,None,Road
1.26,0.55,2.37,76.14,83.71,None,Non-Road
69.32,8.9,11.87,6.59,115.89,Damage,Road
72.85,2.93,34.07,9.52,114.15,Crack,Road
69.63,20.25,11.22,8.46,104.29,Pothole,Road
5.25,2.3,28.12,55.68,188.84,Crack,Non-Road
60.34,0.87,0.8,0.36,108.22,None,Road
65.45,11.13,13.91,6.2,142.09,Damage,Road
64.11,8.43,11.72,5.91,105.15,Damage,Road
13.66,1.03,0.8,89.06,81.76,None,Non-Road
65.08,7.97,17.79,2.68,112.36,Damage,Road
63.0,8.45,13.44,7.3,136.74,Damage,Road
73.99,7.85,11.91,8.28,86.79,Damage,Road
68.29,1.51,22.15,9.94,125.91,Crack,Road
6.92,19.52,11.6,76.7,114.62,Pothole,Non-Road
62.49,19.18,18.82,6.46,47.58,Pothole,Road
75.86,1.09,0.79,12.15,153.42,None,Road
76.41,17.6,12.91,12.9,100.39,Pothole,Road
75.7,18.5,16.13,7.04,123.33,Pothole,Road
3.89,0.88,27.9,62.7,159.53,Crack,Non-Road
17.61,0.82,1.14,85.71,139.05,None,Non-Road
55.33,0.78,30.49,5.82,121.58,Crack,Road
62.14,8.01,14.18,7.05,76.12,Damage,Road
7.05,1.23,3.96,89.43,144.92,None,Non-Road
63.49,2.31,29.47,13.33,112.82,Crack,Road
12.06,9.55,13.32,59.04,139.33,Damage,Non-Road
65.38,7.71,9.75,8.65,57.15,Damage,Road
12.54,2.14,34.36,75.04,111.98,Crack,Non-Road
14.47,9.65,10.13,70.88,91.46,Damage,Non-Road
14.16,8.32,9.29,65.79,101.58,Damage,Non-Road
75.47,20.7,10.25,4.74,102.04,Pothole,Road
8.19,2.06,36.02,48.43,41.94,Crack,Non-Road
82.45,8.57,16.13,6.88,72.87,Damage,Road
3.34,22.32,11.8,90.19,152.42,Pothole,Non-Road
0.0,0.77,1.5,43.7,101.23,None,Non-Road
12.75,1.64,29.52,65.58,125.62,Crack,Non-Road
16.11,7.1,13.96,63.66,112.46,Damage,Non-Road
14.51,5.83,12.76,41.16,121.94,Damage,Non-Road
2.58,2.45,34.73,61.43,130.97,Crack,Non-Road
59.02,12.09,14.14,9.41,166.93,Pothole,Road
13.06,0.81,1.0,72.82,140.15,None,Non-Road
10.28,3.22,24.42,82.72,79.52,Crack,Non-Road
7.23,9.24,15.25,64.24,75.56,Damage,Non-Road
15.52,1.55,1.27,60.37,93.93,None,Non-Road
74.08,4.61,41.65,7.68,110.28,Crack,Road
81.44,0.56,0.79,10.82,140.95,None,Road
76.85,1.49,2.95,10.76,119.73,None,Road
17.66,2.58,19.88,71.23,89.06,Crack,Non-Road
17.99,18.76,21.49,72.6,130.3,Pothole,Non-Road
71.29,11.52,13.83,10.29,82.15,Damage,Road
63.72,14.38,14.05,6.52,137.07,Pothole,Road
6.68,23.47,13.59,58.13,153.6,Pothole,Non-Road
68.73,0.67,1.79,14.64,99.49,None,Road
66.83,3.67,27.85,8.22,135.48,Crack,Road
74.08,21.33,22.81,11.25,79.16,Pothole,Road
67.2,1.96,34.24,4.4,101.93,Crack,Road
17.92,8.18,8.29,60.43,107.98,Damage,Non-Road
76.24,0.84,0.91,15.01,141.55,None,Road
67.14,8.29,12.15,12.52,118.86,Damage,Road
72.26,0.89,28.0,7.14,41.93,Crack,Road
20.51,5.05,9.32,62.99,169.97,Damage,Non-Road
10.79,7.26,13.19,84.27,133.49,Damage,Non-Road
17.88,0.22,1.02,63.39,98.34,None,Non-Road
11.88,2.3,29.77,60.25,86.78,Crack,Non-Road
70.38,6.06,9.9,8.82,116.58,Damage,Road
70.86,7.89,12.02,2.36,172.36,Damage,Road
75.71,7.24,13.93,5.49,123.32,Damage,Road
17.7,22.0,15.21,52.9,105.02,Pothole,Non-Road
70.01,1.57,35.24,14.56,112.48,Crack,Road
77.69,1.17,2.15,11.29,77.27,None,Road
73.93,7.74,13.42,5.36,118.5,Damage,Road
71.08,1.23,1.17,9.23,110.0,None,Road
17.46,0.0,36.24,85.24,102.06,Crack,Non-Road
45.39,0.0,32.34,2.62,109.85,Crack,Road
8.04,7.03,16.03,76.25,30.7,Damage,Non-Road
16.88,1.07,1.77,54.2,136.21,None,Non-Road
68.23,1.24,29.9,5.45,132.13,Crack,Road
2.9,17.96,15.71,74.01,146.86,Pothole,Non-Road
11.94,1.52,31.29,75.47,98.76,Crack,Non-Road
62.96,5.99,10.96,12.06,151.61,Damage,Road
70.86,15.3,9.4,11.99,111.48,Pothole,Road
70.66,1.62,2.39,13.8,114.63,None,Road
9.75,1.53,1.15,57.22,118.37,None,Non-Road
5.82,2.49,26.93,53.01,77.09,Crack,Non-Road
68.36,8.2,11.14,5.58,88.87,Damage,Road
83.51,24.9,13.41,14.68,99.04,Pothole,Road
9.08,21.21,9.08,73.31,85.52,Pothole,Non-Road
83.0,0.8,2.21,7.19,77.08,None,Road
74.28,20.01,14.98,0.0,137.73,Pothole,Road
85.69,1.52,32.14,4.37,66.11,Crack,Road
82.02,0.23,2.33,9.1,102.64,None,Road
62.66,1.35,0.63,1.12,68.07,None,Road
10.42,2.24,39.42,85.34,95.95,Crack,Non-Road
3.24,0.98,2.49,58.38,84.42,None,Non-Road
1.39,1.0,3.39,80.7,103.56,None,Non-Road
13.79,11.25,14.84,47.28,115.0,Pothole,Non-Road
7.99,1.58,2.66,57.4,90.06,None,Non-Road
18.24,11.18,9.12,60.36,94.27,Damage,Non-Road
5.79,5.96,12.66,51.67,143.86,Damage,Non-Road
13.09,3.18,37.27,86.48,146.86,Crack,Non-Road
16.97,9.42,10.91,68.29,148.83,Damage,Non-Road
71.34,2.91,38.82,1.45,71.7,Crack,Road
8.36,23.47,10.36,70.36,61.89,Pothole,Non-Road
17.01,24.47,8.74,69.64,70.22,Pothole,Non-Road
1.45,7.0,14.45,48.44,147.37,Damage,Non-Road
61.13,0.38,33.85,13.71,92.94,Crack,Road
78.58,16.86,9.86,17.46,119.11,Pothole,Road
18.96,7.45,12.36,53.64,90.54,Damage,Non-Road
60.59,1.39,36.06,1.24,144.57,Crack,Road
11.17,5.98,16.2,63.35,116.8,Damage,Non-Road
23.17,18.75,15.69,57.22,181.67,Pothole,Non-Road
71.34,7.55,11.62,13.18,146.51,Damage,Road
17.86,19.26,15.61,59.72,71.55,Pothole,Non-Road
23.77,15.16,8.48,69.54,145.09,Pothole,Non-Road
5.68,2.59,27.6,80.13,103.12,Crack,Non-Road
7.2,23.35,13.59,71.06,124.82,Pothole,Non-Road
53.94,3.19,25.65,4.33,27.95,Crack,Road
7.66,6.48,15.66,61.48,56.51,Damage,Non-Road
60.06,7.84,15.05,8.6,80.09,Damage,Road
18.78,1.82,25.52,40.11,139.72,Crack,Non-Road
65.24,1.06,3.36,17.46,103.45,None,Road
85.93,1.28,2.03,9.45,72.29,None,Road
19.27,20.48,12.09,62.3,142.95,Pothole,Non-Road
18.9,1.08,2.22,58.4,80.23,None,Non-Road
4.43,1.3,2.37,69.24,100.66,None,Non-Road
14.28,16.81,13.17,42.83,125.91,Pothole,Non-Road
54.09,23.25,13.12,9.37,89.95,Pothole,Road
73.08,8.4,11.31,8.38,84.79,Damage,Road
16.31,6.94,14.64,62.96,84.61,Damage,Non-Road
19.26,10.12,8.52,57.48,139.37,Damage,Non-Road
12.69,1.14,29.89,61.4,82.42,Crack,Non-Road
18.41,1.27,0.5,52.25,174.26,None,Non-Road
63.27,14.05,16.15,14.73,106.96,Pothole,Road
9.51,1.88,2.41,24.27,82.96,None,Non-Road
16.86,1.83,1.6,74.7,86.46,None,Non-Road
65.14,6.24,7.16,16.8,124.81,Damage,Road
0.0,1.04,18.7,31.02,140.76,Crack,Non-Road
11.09,5.89,8.79,58.94,122.17,Damage,Non-Road
61.14,17.82,14.41,12.81,118.88,Pothole,Road
61.35,7.41,13.5,6.97,134.08,Damage,Road
3.04,8.11,12.69,68.54,133.47,Damage,Non-Road
81.47,0.15,1.13,0.03,129.16,None,Road
77.52,8.61,15.24,16.29,120.62,Damage,Road
1.47,17.4,10.57,62.58,59.12,Pothole,Non-Road
19.74,9.41,9.6,57.03,104.68,Damage,Non-Road
9.16,7.35,12.34,71.11,112.53,Damage,Non-Road
59.21,2.09,34.78,12.37,70.27,Crack,Road
6.86,0.72,2.82,72.52,118.03,None,Non-Road
19.94,1.18,30.91,74.0,97.37,Crack,Non-Road
60.02,18.44,11.3,8.3,98.47,Pothole,Road
8.3,0.43,2.76,63.27,138.53,None,Non-Road
17.68,8.21,12.41,77.29,95.12,Damage,Non-Road
68.71,1.52,32.39,1.38,110.79,Crack,Road
6.93,1.05,2.52,86.6,135.85,None,Non-Road
15.86,1.72,32.5,81.37,61.74,Crack,Non-Road
67.3,18.79,12.84,5.55,115.11,Pothole,Road
10.53,1.09,1.71,51.32,74.55,None,Non-Road
9.28,1.71,2.24,75.35,109.43,None,Non-Road
21.36,1.21,29.47,61.74,122.18,Crack,Non-Road
7.38,1.18,0.75,49.02,124.84,None,Non-Road
2.99,21.72,13.17,59.54,145.45,Pothole,Non-Road
66.64,2.09,35.31,7.14,63.93,Crack,Road
7.2,0.17,0.76,50.46,127.79,None,Non-Road
10.41,10.81,11.67,72.46,79.53,Damage,Non-Road
12.53,0.69,3.65,67.28,167.53,None,Non-Road
17.68,2.05,1.92,67.1,118.29,None,Non-Road
58.09,6.93,12.13,7.79,96.32,Damage,Road
81.28,0.67,23.37,7.58,96.45,Crack,Road
71.93,18.13,15.81,4.68,61.57,Pothole,Road
68.63,1.83,2.79,9.16,92.88,None,Road
71.2,1.09,39.6,9.68,116.72,Crack,Road
13.79,7.69,11.61,65.59,74.55,Damage,Non-Road
3.87,1.48,2.82,62.07,143.24,None,Non-Road
84.46,15.78,13.23,10.02,119.23,Pothole,Road
64.9,21.74,19.17,7.53,115.99,Pothole,Road
55.0,10.13,13.01,10.9,114.02,Damage,Road
10.83,1.17,2.29,71.46,131.45,None,Non-Road
76.17,7.79,8.87,11.13,119.21,Damage,Road
64.36,0.41,31.01,11.18,73.21,Crack,Road
76.77,11.42,13.95,6.15,151.84,Damage,Road
59.79,17.39,7.42,7.49,157.98,Pothole,Road
82.9,18.17,8.61,12.79,151.57,Pothole,Road
9.26,1.78,36.21,54.08,85.39,Crack,Non-Road
10.82,4.98,16.69,92.28,101.04,Damage,Non-Road
80.7,21.23,12.69,7.67,115.46,Pothole,Road
19.57,3.78,41.42,62.32,102.24,Crack,Non-Road
69.52,20.34,11.76,12.51,139.7,Pothole,Road
15.49,21.41,16.84,58.58,69.15,Pothole,Non-Road
66.8,14.22,16.32,0.0,170.58,Pothole,Road
8.87,0.99,3.42,63.0,139.11,None,Non-Road
14.06,3.27,11.84,61.54,124.46,Damage,Non-Road
58.1,21.56,10.48,3.5,143.38,Pothole,Road
2.87,0.84,0.0,81.83,91.42,None,Non-Road
65.33,0.86,1.86,8.58,85.86,None,Road
66.0,0.32,2.37,6.57,175.18,None,Road
72.43,1.46,1.8,17.53,105.97,None,Road
64.49,0.75,3.21,13.46,89.02,None,Road
13.52,1.26,1.37,32.92,81.7,None,Non-Road
64.71,8.14,14.15,11.45,104.68,Damage,Road
13.8,3.04,34.07,77.17,46.73,Crack,Non-Road
7.48,0.45,2.87,60.24,69.97,None,Non-Road
16.24,2.04,17.58,76.58,68.45,Crack,Non-Road
75.0,2.36,30.54,10.98,134.29,Crack,Road
13.05,15.98,23.59,74.27,74.42,Pothole,Non-Road
90.06,8.99,16.74,4.21,98.29,Damage,Road
13.98,9.52,10.83,69.88,91.04,Damage,Non-Road
77.42,21.07,12.31,8.8,125.01,Pothole,Road
72.5,0.99,0.28,9.68,136.39,None,Road
60.98,0.97,1.62,7.67,186.91,None,Road
19.37,17.98,14.89,75.17,110.73,Pothole,Non-Road
86.5,1.95,0.95,11.74,110.13,None,Road
15.19,1.38,2.36,59.21,147.13,None,Non-Road
13.83,6.83,13.21,78.08,77.38,Damage,Non-Road
69.48,9.32,11.76,9.92,92.39,Damage,Road
5.48,16.05,12.78,70.16,105.59,Pothole,Non-Road
68.27,26.54,17.94,11.75,77.24,Pothole,Road
12.77,1.25,1.46,54.32,107.05,None,Non-Road
75.93,7.94,11.07,9.66,107.33,Damage,Road
69.8,6.56,7.9,12.8,61.95,Damage,Road
79.99,1.97,30.57,6.09,83.62,Crack,Road
11.64,1.6,26.87,85.74,115.83,Crack,Non-Road
6.44,1.63,37.19,69.16,132.13,Crack,Non-Road
74.34,1.91,41.4,7.7,82.23,Crack,Road
75.83,2.82,36.57,17.31,93.64,Crack,Road
21.44,1.84,0.91,63.02,154.85,None,Non-Road
8.18,1.62,0.27,66.02,107.58,None,Non-Road
8.1,17.25,13.72,61.6,77.85,Pothole,Non-Road
19.53,3.03,12.64,64.0,104.05,Damage,Non-Road
82.72,20.96,15.81,5.12,155.36,Pothole,Road
76.23,1.7,1.65,20.33,123.41,None,Road
54.41,5.05,10.1,10.63,99.05,Damage,Road
87.06,1.64,1.24,5.42,120.52,None,Road
10.51,24.42,12.2,50.78,124.63,Pothole,Non-Road
71.87,0.6,1.81,5.6,92.48,None,Road
13.92,19.99,19.37,60.71,76.54,Pothole,Non-Road
7.61,3.14,24.64,48.58,108.08,Crack,Non-Road
77.81,22.74,7.54,8.0,123.41,Pothole,Road
74.03,17.97,12.46,9.16,74.03,Pothole,Road
71.95,6.27,12.55,5.1,134.09,Damage,Road
20.99,1.9,2.52,67.99,119.75,None,Non-Road
12.32,1.36,1.47,74.03,152.6,None,Non-Road
56.4,6.14,15.38,7.85,145.47,Damage,Road
21.98,2.14,29.66,60.92,103.06,Crack,Non-Road
69.72,0.59,1.42,4.18,113.33,None,Road
70.76,1.03,1.81,8.83,140.29,None,Road
66.87,22.79,10.68,8.81,117.82,Pothole,Road
70.8,6.11,9.81,6.6,89.44,Damage,Road
80.47,0.0,37.39,4.83,72.52,Crack,Road
74.94,2.18,30.95,11.8,85.67,Crack,Road
82.84,8.85,17.35,19.51,100.07,Damage,Road
24.13,1.03,3.55,49.91,99.15,None,Non-Road
76.71,11.04,9.48,9.79,80.12,Damage,Road
6.43,1.96,41.29,82.45,138.42,Crack,Non-Road
6.9,25.2,8.59,75.08,147.53,Pothole,Non-Road
70.89,1.27,2.92,12.0,137.65,None,Road
60.97,11.1,15.01,7.73,123.57,Pothole,Road
